P-Channel,MOSFET (Metal Oxide),30V,8.8A (Ta),4.5V* 10V,20 mOhm @ 8.8A* 10V,3V @ 250µA,40nC @ 10V,±25V,1845pF @ 15V,-,2.5W (Ta),-55°C ~ 150°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
P-Channel,MOSFET (Metal Oxide),30V,8.8A (Ta),4.5V* 10V,20 mOhm @ 8.8A* 10V,3V @ 250µA,40nC @ 10V,±25V,1845pF @ 15V,-,2.5W (Ta),-55°C ~ 150°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
N-Channel,MOSFET (Metal Oxide),40V,12.5A (Ta),10V,9 mOhm @ 12.5A* 10V,5V @ 250µA,63nC @ 10V,+30V* -20V,2659pF @ 20V,-,2.5W (Ta),-55°C ~ 175°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
N-Channel,MOSFET (Metal Oxide),60V,10A (Ta),6V* 10V,14 mOhm @ 10A* 10V,4V @ 250µA,70nC @ 10V,±20V,2900pF @ 15V,-,2.5W (Ta),-55°C ~ 150°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
N-Channel,MOSFET (Metal Oxide),30V,13A (Ta),4.5V* 10V,11.3 mOhm @ 13A* 10V,3V @ 250µA,14nC @ 5V,±20V,1205pF @ 15V,-,3W (Ta),-55°C ~ 175°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
P-Channel,MOSFET (Metal Oxide),20V,8A (Ta),2.5V* 4.5V,24 mOhm @ 8A* 4.5V,1.5V @ 250µA,36nC @ 4.5V,±8V,2694pF @ 10V,-,2.5W (Ta),-55°C ~ 175°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
N-Channel,MOSFET (Metal Oxide),30V,8.4A (Ta),4.5V* 10V,22 mOhm @ 8.4A* 10V,3V @ 250µA,7.6nC @ 5V,±20V,560pF @ 15V,-,2.5W (Ta),-55°C ~ 150°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
N-Channel,MOSFET (Metal Oxide),30V,14.5A (Ta),4.5V* 10V,6 mOhm @ 14.5A* 10V,3V @ 1mA,63nC @ 10V,±20V,2510pF @ 15V,-,2.5W (Ta),-55°C ~ 150°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
P-Channel,MOSFET (Metal Oxide),30V,13A (Ta),4.5V* 10V,9.3 mOhm @ 13A* 10V,3V @ 250µA,96nC @ 10V,±25V,3845pF @ 15V,-,2.5W (Ta),-55°C ~ 150°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
N-Channel,MOSFET (Metal Oxide),30V,12.5A (Ta),4.5V* 10V,9.5 mOhm @ 12.5A* 10V,3V @ 250µA,23nC @ 5V,±20V,1620pF @ 15V,-,2.5W (Ta),-55°C ~ 150°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
N-Channel,MOSFET (Metal Oxide),30V,12.5A (Ta),4.5V* 10V,9.5 mOhm @ 12.5A* 10V,3V @ 250µA,23nC @ 5V,±20V,1620pF @ 15V,-,2.5W (Ta),-55°C ~ 150°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
P-Channel,MOSFET (Metal Oxide),30V,20A (Ta),4.5V* 10V,4.6 mOhm @ 20A* 10V,3V @ 250µA,260nC @ 10V,±25V,7540pF @ 15V,-,2.5W (Ta),-55°C ~ 150°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
N-Channel,MOSFET (Metal Oxide),30V,10A (Ta),4.5V* 10V,12 mOhm @ 10A* 10V,3V @ 1mA,23nC @ 10V,±20V,910pF @ 15V,-,2.5W (Ta),-55°C ~ 150°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
N-Channel,MOSFET (Metal Oxide),30V,20A (Ta),4.5V* 10V,4 mOhm @ 20A* 10V,3V @ 250µA,126nC @ 10V,±20V,6925pF @ 15V,-,2.5W (Ta),-55°C ~ 150°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
N-Channel,MOSFET (Metal Oxide),30V,11.6A (Ta),4.5V* 10V,10 mOhm @ 11.6A* 10V,2.5V @ 250µA,30nC @ 10V,±20V,1235pF @ 15V,-,2.5W (Ta),-55°C ~ 150°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
P-Channel,MOSFET (Metal Oxide),30V,5.3A (Ta),4.5V* 10V,50 mOhm @ 5.3A* 10V,3V @ 250µA,14nC @ 10V,±25V,528pF @ 15V,-,2.5W (Ta),-55°C ~ 175°C (TJ),Surface Mount,8-SO,"8-SOIC (0.154""* 3.90mm Width)"
N-Channel,MOSFET (Metal Oxide),150V,1.2A (Ta)* 3A (Tc),6V* 10V,845 mOhm @ 1.2A* 10V,4V @ 250µA,2nC @ 10V,±20V,73pF @ 75V,-,2.3W (Ta)* 10W (Tc),-55°C ~ 150°C (TJ),Surface Mount,SOT-223-4,TO-261-4* TO-261AA
N-Channel,MOSFET (Metal Oxide),25V,220mA (Ta),2.7V* 4.5V,4 Ohm @ 400mA* 4.5V,1.06V @ 250µA,0.7nC @ 4.5V,±8V,9.5pF @ 10V,-,350mW (Ta),-55°C ~ 150°C (TJ),Surface Mount,SOT-23,TO-236-3* SC-59* SOT-23-3
P-Channel,MOSFET (Metal Oxide),25V,120mA (Ta),2.7V* 4.5V,10 Ohm @ 200mA* 4.5V,1.5V @ 250µA,0.31nC @ 4.5V,±8V,11pF @ 10V,-,350mW (Ta),-55°C ~ 150°C (TJ),Surface Mount,SOT-23,TO-236-3* SC-59* SOT-23-3
N-Channel,MOSFET (Metal Oxide),25V,680mA (Ta),2.7V* 4.5V,450 mOhm @ 500mA* 4.5V,1.5V @ 250µA,2.3nC @ 4.5V,±8V,50pF @ 10V,-,350mW (Ta),-55°C ~ 150°C (TJ),Surface Mount,SOT-23,TO-236-3* SC-59* SOT-23-3
N-Channel,MOSFET (Metal Oxide),500V,24A (Tc),10V,200 mOhm @ 12A* 10V,5V @ 250µA,120nC @ 10V,±30V,4500pF @ 25V,-,290W (Tc),-55°C ~ 150°C (TJ),Through Hole,TO-3PN,TO-3P-3* SC-65-3
N-Channel,MOSFET (Metal Oxide),900V,9A (Tc),10V,1.4 Ohm @ 4.5A* 10V,5V @ 250µA,58nC @ 10V,±30V,2730pF @ 25V,-,280W (Tc),-55°C ~ 150°C (TJ),Through Hole,TO-3PN,TO-3P-3* SC-65-3
N-Channel,MOSFET (Metal Oxide),60V,11A (Tc),5V* 10V,115 mOhm @ 5.5A* 10V,2.5V @ 250µA,6.4nC @ 5V,±20V,350pF @ 25V,-,2.5W (Ta)* 28W (Tc),-55°C ~ 150°C (TJ),Surface Mount,D-Pak,TO-252-3* DPak (2 Leads + Tab)* SC-63
N-Channel,MOSFET (Metal Oxide),800V,1A (Tc),10V,20 Ohm @ 500mA* 10V,5V @ 250µA,7.2nC @ 10V,±30V,195pF @ 25V,-,2.5W (Ta)* 45W (Tc),-55°C ~ 150°C (TJ),Surface Mount,D-Pak,TO-252-3* DPak (2 Leads + Tab)* SC-63
N-Channel,MOSFET (Metal Oxide),1000V,1.6A (Tc),10V,9 Ohm @ 800mA* 10V,5V @ 250µA,15.5nC @ 10V,±30V,520pF @ 25V,-,2.5W (Ta)* 50W (Tc),-55°C ~ 150°C (TJ),Surface Mount,D-Pak,TO-252-3* DPak (2 Leads + Tab)* SC-63
N-Channel,MOSFET (Metal Oxide),800V,1.8A (Tc),10V,6.3 Ohm @ 900mA* 10V,5V @ 250µA,15nC @ 10V,±30V,550pF @ 25V,-,2.5W (Ta)* 50W (Tc),-55°C ~ 150°C (TJ),Surface Mount,D-Pak,TO-252-3* DPak (2 Leads + Tab)* SC-63
P-Channel,MOSFET (Metal Oxide),400V,1.56A (Tc),10V,6.5 Ohm @ 780mA* 10V,5V @ 250µA,13nC @ 10V,±30V,350pF @ 25V,-,2.5W (Ta)* 38W (Tc),-55°C ~ 150°C (TJ),Surface Mount,D-Pak,TO-252-3* DPak (2 Leads + Tab)* SC-63
P-Channel,MOSFET (Metal Oxide),500V,2.1A (Tc),10V,4.9 Ohm @ 1.05A* 10V,5V @ 250µA,23nC @ 10V,±30V,660pF @ 25V,-,2.5W (Ta)* 50W (Tc),-55°C ~ 150°C (TJ),Surface Mount,D-Pak,TO-252-3* DPak (2 Leads + Tab)* SC-63
P-Channel,MOSFET (Metal Oxide),200V,3.7A (Tc),10V,1.4 Ohm @ 1.85A* 10V,5V @ 250µA,13nC @ 10V,±30V,430pF @ 25V,-,2.5W (Ta)* 45W (Tc),-55°C ~ 150°C (TJ),Surface Mount,D-Pak,TO-252-3* DPak (2 Leads + Tab)* SC-63
N-Channel,MOSFET (Metal Oxide),500V,40A (Tc),10V,110 mOhm @ 20A* 10V,5V @ 250µA,200nC @ 10V,±30V,7500pF @ 25V,-,460W (Tc),-55°C ~ 150°C (TJ),Through Hole,TO-264,TO-264-3* TO-264AA
N-Channel,MOSFET (Metal Oxide),200V,19A (Tc),10V,170 mOhm @ 9.5A* 10V,4V @ 250µA,53nC @ 10V,±30V,1080pF @ 25V,-,139W (Tc),-55°C ~ 150°C (TJ),Through Hole,TO-220-3,TO-220-3
N-Channel,MOSFET (Metal Oxide),600V,12A (Tc),10V,650 mOhm @ 6A* 10V,4V @ 250µA,63nC @ 10V,±30V,2290pF @ 25V,-,51W (Tc),-55°C ~ 150°C (TJ),Through Hole,TO-220F,TO-220-3 Full Pack
N-Channel,MOSFET (Metal Oxide),500V,13A (Tc),10V,540 mOhm @ 6.5A* 10V,4V @ 250µA,56nC @ 10V,±30V,2055pF @ 25V,-,48W (Tc),-55°C ~ 150°C (TJ),Through Hole,TO-220F,TO-220-3 Full Pack
N-Channel,MOSFET (Metal Oxide),900V,4A (Tc),10V,4.2 Ohm @ 2A* 10V,5V @ 250µA,22nC @ 10V,±30V,960pF @ 25V,-,47W (Tc),-55°C ~ 150°C (TJ),Through Hole,TO-220F,TO-220-3 Full Pack
N-Channel,MOSFET (Metal Oxide),100V,56A (Tc),10V,25 mOhm @ 56A* 10V,4V @ 250µA,130nC @ 20V,±20V,2000pF @ 25V,-,200W (Tc),-55°C ~ 175°C (TJ),Surface Mount,D²PAK (TO-263AB),TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB
N-Channel,MOSFET (Metal Oxide),100V,20A (Tc),4.5V* 10V,52 mOhm @ 20A* 10V,3V @ 250µA,46nC @ 10V,±16V,1285pF @ 25V,-,110W (Tc),-55°C ~ 175°C (TJ),Surface Mount,TO-252AA,TO-252-3* DPak (2 Leads + Tab)* SC-63
N-Channel,MOSFET (Metal Oxide),100V,20A (Tc),4.5V* 10V,52 mOhm @ 20A* 10V,3V @ 250µA,46nC @ 10V,±16V,1285pF @ 25V,-,110W (Tc),-55°C ~ 175°C (TJ),Surface Mount,TO-252AA,TO-252-3* DPak (2 Leads + Tab)* SC-63
N-Channel,MOSFET (Metal Oxide),500V,6.3A (Tc),13V,380 mOhm @ 3.2A* 13V,3.5V @ 260µA,24.8nC @ 10V,±20V,584pF @ 100V,-,29.2W (Tc),-40°C ~ 150°C (TJ),Through Hole,TO-220 Full Pack,TO-220-3 Full Pack
N-Channel,MOSFET (Metal Oxide),800V,5.7A (Tc),10V,950 mOhm @ 3.6A* 10V,3.9V @ 250µA,31nC @ 10V,±20V,785pF @ 100V,-,32W (Tc),-40°C ~ 150°C (TJ),Through Hole,PG-TO220-FP,TO-220-3 Full Pack
N-Channel,MOSFET (Metal Oxide),120V,180A (Tc),10V,3.6 mOhm @ 100A* 10V,4V @ 270µA,211nC @ 10V,±20V,13800pF @ 60V,-,300W (Tc),-55°C ~ 175°C (TJ),Surface Mount,PG-TO263-7,TO-263-7* D²Pak (6 Leads + Tab)* TO-263CB
N-Channel,MOSFET (Metal Oxide),600V,31A (Tc),10V,99 mOhm @ 18A* 10V,3.5V @ 1.2mA,80nC @ 10V,±20V,2800pF @ 100V,-,255W (Tc),-55°C ~ 150°C (TJ),Surface Mount,PG-TO263-3-2,TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB
N-Channel,MOSFET (Metal Oxide),60V,90A (Tc),10V,3.8 mOhm @ 90A* 10V,4V @ 90µA,98nC @ 10V,±20V,8000pF @ 30V,-,188W (Tc),-55°C ~ 175°C (TJ),Surface Mount,PG-TO252-3,TO-252-3* DPak (2 Leads + Tab)* SC-63
N-Channel,MOSFET (Metal Oxide),25V,50A (Tc),4.5V* 10V,5.7 mOhm @ 30A* 10V,2V @ 40µA,22nC @ 5V,±20V,2653pF @ 15V,-,83W (Tc),-55°C ~ 175°C (TJ),Surface Mount,PG-TO252-3,TO-252-3* DPak (2 Leads + Tab)* SC-63
N-Channel,MOSFET (Metal Oxide),25V,50A (Tc),4.5V* 10V,8.6 mOhm @ 30A* 10V,2V @ 20µA,13nC @ 5V,±20V,1642pF @ 15V,-,63W (Tc),-55°C ~ 175°C (TJ),Surface Mount,PG-TO252-3,TO-252-3* DPak (2 Leads + Tab)* SC-63
N-Channel,MOSFET (Metal Oxide),60V,18A (Tc),4.5V* 10V,64 mOhm @ 18A* 10V,2V @ 16µA,13nC @ 10V,±20V,470pF @ 30V,-,47W (Tc),-55°C ~ 175°C (TJ),Surface Mount,PG-TO252-3,TO-252-3* DPak (2 Leads + Tab)* SC-63
N-Channel,MOSFET (Metal Oxide),150V,100A (Tc),8V* 10V,7.5 mOhm @ 100A* 10V,4V @ 270µA,93nC @ 10V,±20V,5470pF @ 75V,-,300W (Tc),-55°C ~ 175°C (TJ),Through Hole,PG-TO262-3,TO-262-3 Long Leads* I²Pak* TO-262AA
N-Channel,MOSFET (Metal Oxide),40V,300A (Tc),10V,1.15 mOhm @ 100A* 10V,4V @ 125µA,151nC @ 10V,±20V,12090pF @ 25V,-,300W (Tc),-55°C ~ 175°C (TJ),Surface Mount,PG-HSOF-8-1,8-PowerSFN
N-Channel,MOSFET (Metal Oxide),700V,43.3A (Tc),10V,80 mOhm @ 17.6A* 10V,4.5V @ 1.76mA,170nC @ 10V,±20V,5030pF @ 100V,-,391W (Tc),-55°C ~ 150°C (TJ),Through Hole,PG-TO247-3,TO-247-3
N-Channel,MOSFET (Metal Oxide),100V,42A (Tc),10V,36 mOhm @ 22A* 10V,4V @ 250µA,110nC @ 10V,±20V,1900pF @ 25V,-,3.8W (Ta)* 160W (Tc),-55°C ~ 175°C (TJ),Surface Mount,D2PAK,TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB
N-Channel,MOSFET (Metal Oxide),75V,100A (Tc),10V,7.8 mOhm @ 78A* 10V,4V @ 250µA,250nC @ 10V,±20V,5600pF @ 25V,-,3.8W (Ta)* 200W (Tc),-55°C ~ 175°C (TJ),Surface Mount,D2PAK,TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB
N-Channel,MOSFET (Metal Oxide),30V,75A (Tc),10V,3.3 mOhm @ 140A* 10V,4V @ 250µA,200nC @ 10V,±20V,5730pF @ 25V,-,330W (Tc),-55°C ~ 175°C (TJ),Through Hole,TO-220AB,TO-220-3
N-Channel,MOSFET (Metal Oxide),40V,195A (Tc),10V,2 mOhm @ 75A* 10V,4V @ 250µA,240nC @ 10V,±20V,6450pF @ 25V,-,300W (Tc),-55°C ~ 175°C (TJ),Through Hole,TO-262,TO-262-3 Long Leads* I²Pak* TO-262AA
N-Channel,MOSFET (Metal Oxide),40V,160A (Tc),10V,1.6 mOhm @ 160A* 10V,4V @ 250µA,260nC @ 10V,±20V,6930pF @ 25V,-,330W (Tc),-55°C ~ 175°C (TJ),Surface Mount,D2PAK (7-Lead),TO-263-7* D²Pak (6 Leads + Tab)* TO-263CB
N-Channel,MOSFET (Metal Oxide),75V,82A (Tc),10V,13 mOhm @ 43A* 10V,4V @ 250µA,160nC @ 10V,±20V,3820pF @ 25V,-,230W (Tc),-55°C ~ 175°C (TJ),Surface Mount,D2PAK,TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB
N-Channel,MOSFET (Metal Oxide),75V,160A (Tc),10V,4.5 mOhm @ 75A* 10V,4V @ 250µA,270nC @ 10V,±20V,7500pF @ 25V,-,300W (Tc),-55°C ~ 175°C (TJ),Through Hole,TO-220AB,TO-220-3
N-Channel,MOSFET (Metal Oxide),75V,160A (Tc),10V,4.5 mOhm @ 75A* 10V,4V @ 250µA,270nC @ 10V,±20V,7500pF @ 25V,-,300W (Tc),-55°C ~ 175°C (TJ),Surface Mount,D2PAK,TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB
